country,visa
Albania,no
Andorra,no
Armenia,no
Austria,no
Azerbaijan,no
Belarus,no
Belgium,no
Bosnia and Herz.,no
Bulgaria,no
Croatia,no
Cyprus,no
Czechia,no
Denmark,no
Estonia,no
Finland,no
France,no
Georgia,no
Germany,no
Greece,no
Hungary,no
Iceland,no
Ireland,no
Italy,no
Kosovo,yes
Latvia,no
Liechtenstein,no
Lithuania,no
Luxembourg,no
Malta,no
Moldova,no
Monaco,no
Montenegro,no
Netherlands,no
North Macedonia,no
Norway,no
Poland,no
Portugal,no
Romania,no
San Marino,no
Serbia,no
Slovakia,no
Slovenia,no
Spain,no
Sweden,no
Switzerland,no
Turkey,no
Ukraine,Ukraine
United Kingdom,yes
Vatican City,no
